date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,revenue_yoy,revenue_mom,revenue_3m_yoy,foreign_holding_pct,foreign_holding_chg5d,insider_net_30d,has_buyback,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-06-12,93.9,97.8,93.9,94.9,4765987,455788395,1582,信錦,,-1.8156905558550136,1.1092795852672346,-2.924970141122248,101.68688723080857,97.5321796843142,89.8150551918305,43.254999051182295,25.0394416846638,7.174608758954558,10777304.6,1199641781.75,119.5,88.5,-1.1572320678341268,0.182222150625363,-0.0830917874396134,0.0639013452914798,89.2,0.2893776854972049,125.71344412297564,107.26000000000022,88.80655587702479,0.1651031667142445,0.3440880873200706,28.214285714285733,11.530365769496106,-34358162.0,-14851535.0,-78.05555555555554,-104.30451796513684,40.97569924276818,95.225,89.95,89332.1238333333,True,-0.0184489848789158,283000.0,3.0,-3104.0,0.0,64107.0,1.0,-0.0646428025606975,0.0,0.0,0.0,0.0,0.0,4.9,0.01,0,False,0,False,False,False,True,0.4422243944000618,False,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1,False,6,True,False,404.4222439440006,11.3,False,True,False,True,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, adx_trending",long_upper_shadow,close_below_ema20
2026-06-12,10.7,10.9,10.65,10.7,525736,5642357,1471,首利,,-0.0833884916776561,-0.0620818686271139,-0.0213066230505422,11.06463093507079,11.321466164881915,11.176950416259007,44.05474947378519,16.198191902872757,0.5313540597263835,1052954.95,11857015.95,12.25,10.6,0.4590327348824464,-0.3532127029459862,-0.0655021834061135,0.0094339622641508,10.6,0.7163881089679157,12.212257729188648,10.92249999999999,9.632742270811333,0.4137434903607989,0.2361652971734784,17.073170731707293,19.90102509720782,12821149.0,15430126.55,-73.9130434782609,-22.10193955796129,47.57271051517241,12.0,12.6,89332.1238333333,True,-0.0184489848789158,-20370.0,0.0,0.0,0.0,2000.0,1.0,-0.0470531985271976,0.0,0.0,0.0,0.0,0.0,0.88,-0.17,0,False,0,False,False,False,True,0.4992958150773687,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,3,False,False,154.9929581507737,7.9,True,True,False,True,"ema60_gt_ema120, market_above_ma60, avoid_chase",,"macd_death_cross, close_below_ema20"
2026-06-12,49.7,49.8,48.35,48.55,565324,27764001,1569,濱川,,-1.462092480893709,-1.1515956343521585,-0.3104968465415507,51.21638094524464,52.92097090005342,53.729636931128205,39.03396396580733,13.86624521651145,2.4230855962796003,1023008.75,52335386.5,54.3,47.55,-0.2581378662712371,-0.0262503224329369,-0.0499021526418788,0.0210304942166141,47.55,1.912665439950349,54.30568166061396,51.02750000000005,47.74931833938614,0.1221228326412986,0.1284868614223274,26.7379679144385,20.093582887700297,45066832.0,45747417.65,-73.2620320855615,-122.00913242009136,42.45275473976528,60.0875,57.150000000000006,89332.1238333333,True,-0.0184489848789158,-6435.0,0.0,0.0,0.0,-7938.0,0.0,-0.0314531677629629,0.0,0.0,-0.0079,0.1393,0.0,0.0,0.0,0,False,0,False,False,False,False,0.5526091541250258,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,True,False,-1,False,4,True,False,235.52609154125025,10.3,False,True,False,True,"market_above_ma60, avoid_chase, liquidity_ok, kd_golden_cross","open_high_close_low, gap_chase_after_blowout",close_below_ema20
2026-06-12,23.6,23.8,23.05,23.1,828916,19308077,1529,樂事綠能,,0.1781077552935563,0.0541241653250893,0.123983589968467,22.50251193346149,22.773663572680224,22.92742697669292,54.01398855081769,20.487843525608803,1.0454679784632044,1405204.2,32466804.8,24.65,22.0,0.7311108407106678,-0.2607251537726033,0.002169197396963,-0.0021598272138227,23.15,0.8222290252894644,24.486015165679905,22.0875,19.68898483432009,0.7110680838061307,0.2171830370734491,43.15789473684212,35.78947368421056,95304705.0,99529224.9,-56.24999999999998,83.18990246701101,74.93881031161173,22.9,25.775,89332.1238333333,True,-0.0184489848789158,-20460.0,0.0,0.0,0.0,0.0,0.0,0.0206181822758789,0.0,0.0,0.0,0.0,0.0,1.48,0.27,0,False,0,False,False,True,False,0.5898900672229702,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,6,False,False,450.8989006722297,17.4,False,False,False,False,"above_ema60, market_above_ma60, avoid_chase, adx_trending, stronger_than_market, mfi_strong",,
2026-06-12,24.35,24.85,24.25,24.55,30216569,742893054,1101,台泥,,-0.0597279401306423,-0.0741245015263018,0.0143965613956595,24.2955157010058,24.386043161555445,24.335155178048183,53.445947832839735,12.287570468954318,0.5196828731913276,33181516.25,803242268.7,24.85,23.85,0.0404204038526299,0.0463155193004183,0.0061475409836067,0.0123711340206185,24.25,0.9632488714571642,24.81572052353593,24.21249999999996,23.609279476463986,0.7797484392786227,0.0498271986400392,60.60606060606066,41.41414141414134,-272311574.0,-296701730.3,-39.39393939393934,98.84801189149157,57.04139290897534,24.637500000000003,24.525,89332.1238333333,True,-0.0184489848789158,6211054.0,1.0,61000.0,9.0,-340567.0,0.0,0.0245965258625225,0.0,0.0,0.0,0.0,0.0,14.27,-0.7,0,False,0,True,True,True,True,0.9106446122696398,False,False,False,False,True,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,-1,False,11,False,False,804.1064461226964,14.4,False,False,False,False,"macd_golden_cross, above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, hist_turn_positive, stronger_than_market, obv_uptrend, invest_trust_buy_2d, mfi_strong",,
2026-06-12,34.9,35.5,34.65,35.2,15449386,543876633,1102,亞泥,,-0.053647055119697,-0.219827186188654,0.166180131068957,34.28763415561552,34.71531726940699,35.45415900276674,58.60133823197846,12.73122479841598,0.6765526954596484,25063032.0,851850401.55,34.95,33.75,0.0305661125856929,-0.0577109945466636,0.0232558139534884,0.0202898550724639,34.5,0.6594801412930792,35.386115680786794,34.077499999999965,32.768884319213136,0.9288883346274416,0.0768023288555105,85.00000000000014,84.26829268292688,-50768140.0,-176609066.95,-9.677419354838614,141.3242009132426,82.97612832515611,35.275000000000006,34.724999999999994,89332.1238333333,True,-0.0184489848789158,-67036.0,0.0,23279.0,1.0,-16000.0,0.0,0.0417047988324043,0.0,0.0,0.0,0.0,0.0,12.23,-0.92,0,False,0,False,False,True,False,0.6164212693819328,False,True,False,True,True,True,False,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,-1,False,10,False,False,696.1642126938193,16.6,False,False,False,False,"above_ema60, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, liquidity_ok, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong",,
2026-06-12,29.2,29.35,29.05,29.2,579940,16950555,1104,環泥,,0.2502689333950911,0.0802542468762832,0.1700146865188079,28.52091978181928,28.66501224638234,29.04541817051157,64.57215269513709,33.05991564825663,0.501873450668492,869149.75,24593051.4,29.4,27.45,0.4329354039254027,-0.0916697434467379,-0.0068027210884353,0.0068965517241379,29.0,1.1298121356395303,29.76431099853962,28.14999999999996,26.53568900146029,0.8252161451386667,0.1146934990081468,75.75757575757567,73.58585858585866,24624894.0,22047012.6,-15.384615384615458,98.26013642983068,56.674123988447526,28.8375,29.175,89332.1238333333,True,-0.0184489848789158,192000.0,1.0,-5000.0,0.0,13000.0,3.0,0.0116462637904805,0.0,0.0,0.0,0.0,0.0,15.14,-0.07,0,False,0,False,False,True,False,0.667249803615545,False,True,True,False,True,False,False,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,-1,False,11,False,False,811.6724980361555,11.8,False,False,False,False,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, adx_trending, stronger_than_market, kd_golden_cross, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,
2026-06-12,13.45,13.6,13.4,13.55,314273,4250278,1103,嘉泥,,0.031117370889973,-0.0052633271406708,0.0363806980306438,13.37962158239426,13.46892192659775,13.59688387294266,55.71538813832423,14.93298875418853,0.2398215182029439,374224.65,4964932.05,13.65,13.2,0.2250586785197865,-0.0683834195051187,-0.0036764705882351,0.0074349442379182,13.45,0.7121851764181772,13.70785164831272,13.289999999999988,12.872148351687256,0.8111152020697816,0.0628821141177927,69.23076923076935,63.07692307692317,-9966447.0,-10592797.35,-26.66666666666657,103.57624831308962,66.68337460786648,13.5625,13.75,89332.1238333333,True,-0.0184489848789158,65840.0,3.0,0.0,0.0,-12000.0,0.0,0.0147725142906807,0.0,0.0,0.0,0.0,0.0,4.57,0.0,0,False,0,False,False,True,False,0.8397976990559013,False,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,-1,False,9,False,False,643.397976990559,12.4,False,False,False,False,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, foreign_buy_3d, stronger_than_market, obv_uptrend, cci_momentum, mfi_strong",,
2026-06-12,13.7,13.8,13.65,13.8,233893,3209454,1108,幸福,,-0.1404182171930426,-0.1754114844292013,0.0349932672361587,13.82470734425328,14.231189581213782,14.508248331381138,46.34782246035204,41.30554075981308,0.1813595877816623,394424.85,5410824.0,14.1,13.6,0.0391041349816816,-0.1866133630961926,0.0,0.0109890109890109,13.65,0.6843942913395372,14.028530061855337,13.712500000000068,13.3964699381448,0.638436197313414,0.0460937191402395,41.66666666666669,22.22222222222202,-2133045.0,-2023260.2,-46.66666666666662,23.529411764706477,57.045320605611074,14.65,14.925,89332.1238333333,True,-0.0184489848789158,-6000.0,0.0,0.0,0.0,1000.0,3.0,0.0184489848789158,0.0,0.0,0.0,0.0,0.0,1.36,0.07,0,False,0,False,False,False,False,0.5929976267976017,False,False,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,-1,False,7,False,False,550.929976267976,12.2,False,True,False,True,"market_above_ma60, avoid_chase, adx_trending, stronger_than_market, kd_golden_cross, dealer_buy_3d, mfi_strong",,close_below_ema20
2026-06-12,14.65,14.7,14.55,14.7,116543,1707356,1109,信大,,-0.1134765987484147,-0.1414573538714338,0.0279807551230191,14.742280008900254,15.023611360280809,15.25130721158578,45.06570090799431,31.153444080902037,0.2254032689783176,195332.75,2841991.9,14.9,14.6,0.0613568359651964,-0.1028891609841714,-0.0101010101010101,0.0068493150684931,14.6,0.5292643625674651,14.876419278515318,14.622500000000036,14.368580721484754,0.6526075539697531,0.0347299406415156,59.99999999999979,50.30303030303063,-3381751.0,-3262604.6,-33.33333333333353,43.58974358974624,47.71849658916053,15.35,15.525,89332.1238333333,True,-0.0184489848789158,26000.0,3.0,0.0,0.0,-2108.0,0.0,0.0083479747779057,0.0,0.0,0.0,0.0,0.0,2.35,0.01,0,False,0,False,False,False,False,0.5966383005409999,False,False,True,False,True,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,-1,False,6,False,False,480.96638300541,11.1,False,True,False,True,"market_above_ma60, avoid_chase, foreign_buy_3d, adx_trending, stronger_than_market, kd_golden_cross",,close_below_ema20
