date,open,high,low,close,volume,amount,stock_id,name,industry_category,macd,macd_signal,macd_hist,ema20,ema60,ema120,rsi14,adx14,atr14,volume_ma20,amount_ma20,close_20d_high,close_10d_low,lr_slope_20,lr_slope_60,return_5d,day_return,prev_close,prev_volume_ratio,bb_upper,bb_mid,bb_lower,bb_pct_b,bb_bandwidth,stoch_k,stoch_d,obv,obv_ma,williams_r,cci20,mfi14,ichi_senkou_a,ichi_senkou_b,market_ma60,market_above_ma60,market_return_5d,foreign_net,foreign_buy_streak,invest_trust_net,invest_trust_streak,dealer_net,dealer_buy_streak,relative_strength_5d,margin_change_5d,short_ratio,limit_down_streak,macd_golden_cross,hist_turn_positive,above_ema60,ema60_gt_ema120,volume_ratio,volume_break,rsi_strong,adx_trending,breakout_20d,avoid_chase,liquidity_ok,foreign_buy_3d,stronger_than_market,kd_golden_cross,obv_uptrend,invest_trust_buy_2d,dealer_buy_3d,bb_squeeze_breakout,breakout_volume_confirm,williams_r_recovery,cci_momentum,mfi_strong,above_ichimoku_cloud,long_upper_shadow,open_high_close_low,gap_chase_after_blowout,earnings_blocked,f_score,f_score_low,condition_count,skip_trade,entry_signal,entry_score,momentum_score,macd_death_cross,close_below_ema20,close_below_swing_low,base_exit_signal,entry_reason,skip_reason,base_exit_reason
2026-05-29,40.55,41.4,40.55,41.1,850772,34915720,2387,精元,,-0.0477792475658489,-0.3266106222021108,0.2788313746362618,40.01568022855654,40.43951447301745,40.902573130916,56.74236430760431,19.2199140187219,1.0026127698534708,768227.35,30662794.6,41.65,38.2,-0.0563863457532705,-0.1908440108588025,0.0365699873896596,0.0185873605947954,40.35,0.9544898334828292,42.205890085037296,39.80749999999998,37.40910991496267,0.7694515808882503,0.120499407651187,86.36363636363647,73.53673723536728,4158752.0,2641583.75,-12.16216216216206,73.04964539007067,54.99477606954946,41.525000000000006,42.075,84981.37599999997,True,0.0583517947481986,356995.0,8.0,0.0,0.0,1082.0,1.0,-0.0217818073585389,0.0,0.0,0,False,False,True,False,1.1074482052741288,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,-1,False,7,False,False,783.1162153356092,10.0,False,False,False,False,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, foreign_buy_3d, obv_uptrend, mfi_strong",,
2026-05-29,133.0,136.0,133.0,135.5,3427065,464117117,2385,群光,,2.0798675356008403,1.6086849049393348,0.4711826306615054,130.1090726224074,126.56786439939512,125.854906788656,60.37297343894498,19.775700019981624,3.858130265037788,4214177.5,550508007.7,135.5,123.5,0.1186018406752785,0.1293380343246349,0.0304182509505703,0.0265151515151516,132.0,0.8116296531908083,137.40428440313482,130.4,123.3957155968652,0.8640628868323402,0.1074276748947058,82.14285714285714,75.7680491551461,-41750551.0,-52539549.15,-16.129032258064516,106.70670670670664,54.92628724883653,123.875,121.25,84981.37599999997,True,0.0583517947481986,200815.0,1.0,-130992.0,0.0,66471.0,1.0,-0.0279335437976282,0.0,0.0,0,False,False,True,True,0.8132227463128926,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,False,-1,False,10,False,False,1085.1145731033478,7.6,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",,
2026-05-29,76.1,77.3,75.1,76.9,6298461,479659632,2388,威盛,,2.704492434171172,3.797196927436969,-1.0927044932657966,76.85424037504185,68.25093029573088,62.94259852134202,52.30433012726977,31.358933103327715,5.217896124692583,19951470.9,1598811661.6,88.0,74.3,0.1004589916992973,1.1340297320731925,-0.1261363636363636,0.0336021505376344,74.4,0.5380374504003276,86.72985448071947,78.14000000000014,69.55014551928082,0.4278218273206243,0.2198580619585182,20.441988950276265,17.69482533230318,159101171.0,151511409.35,-74.61139896373054,-36.09138030332135,65.79068822721935,65.27499999999999,61.4,84981.37599999997,True,0.0583517947481986,-1082973.0,0.0,8000.0,1.0,34415.0,1.0,-0.1844881583845622,0.0,0.0,0,False,False,True,True,0.3156890552866456,False,False,True,False,True,True,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,1096.067007817738,10.2,False,False,False,False,"above_ema60, ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-05-29,10.8,10.85,10.65,10.8,1085430,11648556,2390,云辰,,0.1968232901466553,0.0814662086299645,0.1153570815166908,10.222332409473353,10.115352220517636,10.12816115866464,66.00165463150978,35.60657665594862,0.3525727401617999,1050828.75,10690011.4,10.7,9.74,0.7364552021383297,0.0035997944243658,0.0188679245283018,0.0140845070422535,10.65,1.9790882319117604,10.9474335153121,9.998000000000047,9.048566484687994,0.9223571145665516,0.1899246880000098,70.58823529411774,72.16886754701893,17346312.0,14943513.45,-20.30456852791872,123.51459394337644,63.09366508412936,10.45,10.675,84981.37599999997,True,0.0583517947481986,-101690.0,0.0,0.0,0.0,4000.0,1.0,-0.0394838702198967,0.0,0.0,0,False,False,True,False,1.032927582158368,False,True,True,True,True,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,9,False,False,1001.9874654555426,7.1,False,False,False,False,"above_ema60, rsi_strong, breakout_20d, market_above_ma60, avoid_chase, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-05-29,38.2,40.0,38.2,39.25,5819265,227994949,2392,正崴,,0.6420108893108392,-0.0297054378407477,0.6717163271515869,36.245771951666505,36.502950991644326,38.26704809661057,54.00898219246329,13.4413796045245,3.757364451776713,3568584.0,130945334.05,40.5,33.5,,,0.0315374507227332,0.0424966799468791,37.65,0.8090458399926704,52.21293595399345,35.47499999999991,18.73706404600637,0.6127677872103281,0.9436468473005544,88.7218045112782,80.62099366062223,53733282.0,45382541.25,-1.875,59.67160592711256,61.15508243248544,36.925,37.2,84981.37599999997,True,0.0583517947481986,906130.0,9.0,-1000.0,0.0,125947.0,7.0,-0.0268143440254653,0.0,0.0,0,False,False,True,False,1.630693014372087,True,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,1117.0668753456987,30.5,False,False,False,False,"above_ema60, volume_break, market_above_ma60, avoid_chase, liquidity_ok, foreign_buy_3d, obv_uptrend, dealer_buy_3d, mfi_strong, above_ichimoku_cloud",,
2026-05-29,62.6,63.5,62.1,62.5,2865722,180097002,2393,億光,,-1.913677509659479,-1.391220020538574,-0.5224574891209048,66.00591386826103,66.24886699064389,64.58793992242674,35.73892282192992,27.29569179445286,2.026148219416691,3844804.2,257114781.6,73.8,61.7,-0.98051123483979,0.087775797899647,-0.0414110429447853,0.0032102728731941,62.3,0.6975758613729947,76.63428167383225,67.29000000000015,57.94571832616805,0.2436935140015014,0.277731659201429,21.95121951219508,34.4775669978923,75719237.0,78542977.8,-84.17266187050357,-71.44683026584876,33.351819580184966,70.975,64.85,84981.37599999997,True,0.0583517947481986,-417377.0,0.0,-91739.0,0.0,-2953.0,0.0,-0.099762837692984,0.0,0.0,0,False,False,False,True,0.7453492690212937,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,-1,False,5,True,False,539.7729007153674,4.9,False,True,False,True,"ema60_gt_ema120, market_above_ma60, avoid_chase, liquidity_ok, adx_trending",long_upper_shadow,close_below_ema20
2026-05-29,496.0,515.0,492.0,495.0,10573832,5269181279,2395,研華,,31.11757485676356,31.09571568987643,0.0218591668871219,461.1321759153642,400.8091385285601,365.4981670317456,69.07072575762014,43.65314260905757,22.854150485331147,5841319.7,2707316267.05,510.0,457.5,0.9631557241697638,0.7437396303304536,0.0554371002132196,0.0091743119266054,490.5,0.8493922081358526,530.0322780117967,465.15,400.2677219882033,0.7300319972934115,0.2789735698669106,51.72413793103448,61.74687381583923,79464292.0,61548442.35,-38.46153846153846,95.20605550883106,55.83388775037336,351.5,329.75,84981.37599999997,True,0.0583517947481986,-617543.0,0.0,301025.0,1.0,120763.0,1.0,-0.0029146945349789,0.0,0.0,0,False,False,True,True,1.8101786142607463,True,True,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,False,-1,False,10,True,False,1121.463459298167,30.2,False,False,False,False,"above_ema60, ema60_gt_ema120, volume_break, rsi_strong, market_above_ma60, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",long_upper_shadow,
2026-05-29,62.9,63.7,62.9,63.5,318911,20188173,2397,友通,,1.378805132000636,1.0889945748875154,0.2898105571131206,60.96561263337641,59.51837534638553,60.37202117236392,61.19943161113221,24.83271849240549,1.9840810600019376,456862.65,28067867.05,64.9,58.9,0.4902334706790238,0.213271943739308,0.0225442834138485,0.0209003215434082,62.2,0.8512965917612348,64.6433644731749,60.54000000000051,56.43663552682612,0.8606796348886863,0.1355587866922482,63.15789473684212,55.25176577808149,20369712.0,19246574.0,-34.56790123456789,104.11942554799712,60.15178967943388,58.025000000000006,58.1,84981.37599999997,True,0.0583517947481986,71001.0,8.0,0.0,0.0,0.0,0.0,-0.0358075113343501,0.0,0.0,0,False,False,True,False,0.6980456817820411,False,True,True,False,True,False,True,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,-1,False,10,False,False,1138.2324241767908,6.8,False,False,False,False,"above_ema60, rsi_strong, market_above_ma60, avoid_chase, foreign_buy_3d, adx_trending, kd_golden_cross, obv_uptrend, mfi_strong, above_ichimoku_cloud",,
2026-05-29,49.8,49.8,47.85,47.9,6976008,337517973,2399,映泰,,2.390307845065124,2.482859868895788,-0.092552023830664,45.21826427558637,38.82016999791959,33.30456835510307,59.99772563268836,42.685158527891446,2.930169673658991,17717246.55,812186339.3,50.5,42.2,0.4942830481035808,1.2390951552025795,0.0290010741138559,0.0041928721174002,47.7,0.4895575218377817,50.1325493960016,45.577499999999965,41.02245060399833,0.7549368621599026,0.1998814939828485,64.89361702127657,64.53900709219852,452366010.0,419013363.45,-35.10638297872343,105.23168908819169,70.8474135291955,37.2375,33.25,84981.37599999997,True,0.0583517947481986,-934508.0,0.0,0.0,0.0,3314.0,1.0,-0.0293507206343426,0.0,0.0,0,False,False,True,True,0.3937410917838133,False,True,True,False,True,True,False,False,True,True,False,False,False,False,False,True,True,True,False,True,False,False,-1,False,12,True,False,1338.6874973822953,12.3,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, kd_golden_cross, obv_uptrend, cci_momentum, mfi_strong, above_ichimoku_cloud",open_high_close_low,
2026-05-29,30.95,30.95,29.85,30.0,11222420,338262080,2401,凌陽,,1.839560096365332,1.5181954481244275,0.3213646482409047,27.449687829730056,24.60911438200284,23.234797513253984,67.10853059711035,35.38175587084584,1.6044473545306654,16948311.25,480965847.0,31.05,24.65,1.2231778058080125,0.6628758070089623,-0.024390243902439,-0.0016638935108153,30.05,1.1117849067891326,31.74009220142269,26.994999999999983,22.24990779857728,0.8166429515425471,0.3515534137005157,65.3179190751445,71.33633951719519,297770998.0,208703992.3,-31.413612565445025,99.01088770959484,66.11203100589982,23.0375,22.950000000000003,84981.37599999997,True,0.0583517947481986,-1880753.0,0.0,1000.0,1.0,17541.0,1.0,-0.0827420386506376,0.0,0.0,0,False,False,True,True,0.6621556469232296,False,True,True,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,False,True,False,False,-1,False,10,True,False,1093.7291084750143,8.0,False,False,False,False,"above_ema60, ema60_gt_ema120, rsi_strong, market_above_ma60, avoid_chase, liquidity_ok, adx_trending, obv_uptrend, mfi_strong, above_ichimoku_cloud",open_high_close_low,
